LINE,TIME
600401,42651.81999
600401,42651.81999
600401,42651.82001
600401,42651.82001
600401,42651.82002
600401,42651.82002
600401,42651.82004
600401,42651.82004
600401,42651.82006
600401,42651.82006
600401,42651.82008
600401,42651.82008
600401,42651.82009
600401,42651.82009
600401,42651.82011
600401,42651.82011
600401,42651.82013
600401,42651.82013
600401,42651.82014
600401,42651.82014
600401,42651.82016
600401,42651.82016
600401,42651.82018
600401,42651.8202
600401,42651.8203
600401,42651.82032
600401,42651.82032
600401,42651.82034
600401,42651.82034
600401,42651.82035
600401,42651.82035
600401,42651.82037
600401,42651.82037
600401,42651.82039
600401,42651.82039
600401,42651.82041
600401,42651.82041
600401,42651.82042
600401,42651.82042
600401,42651.82044
600401,42651.82044
600401,42651.82046
600401,42651.82046
600401,42651.82047
600401,42651.82047
600401,42651.82049
600401,42651.82049
600401,42651.82051
600401,42651.82068
600401,42651.8207
600401,42651.82072
600401,42651.82072
600401,42651.82073
600401,42651.82073
600401,42651.82075
600401,42651.82075
600401,42651.82077
600401,42651.82077
600401,42651.82079
600401,42651.82079
600401,42651.8208
600401,42651.8208
600401,42651.82082
600401,42651.82082
600401,42651.82084
600401,42651.82084
600401,42651.82086
600401,42651.82086
600401,42651.82087
600401,42651.82087
600401,42651.82089
600401,42651.82089
600401,42651.82091
600401,42651.82091
600401,42651.82093
600401,42651.82093
600401,42651.82094
600401,42651.82094
600401,42651.82096
600401,42651.82096
600401,42651.82098
600401,42651.82098
600401,42651.821
600401,42651.821
600401,42651.82101
600401,42651.82101
600401,42651.82103
600401,42651.82103
600401,42651.82105
600401,42651.82105
600401,42651.82106
600401,42651.82106
600401,42651.8212
600401,42651.82122
600401,42651.82122
600401,42651.82124
600401,42651.82124
600401,42651.82126
600401,42651.82126
600401,42651.82127
